Link,Publishing Info
https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2017/12/sou-2017109/,"Publicerad15 december 2017·Rättsliga dokument,Statens offentliga utredningarfrånFinansdepartementet"
https://www.regeringen.se/rattsliga-dokument/skrivelse/2017/12/skr.-20171850,"Publicerad15 december 2017·Rättsliga dokument,SkrivelsefrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2017/12/etikprovning--en-oversyn-av-reglerna-om-forskning-och-halso--och-sjukvard/,"Publicerad15 december 2017·Rättsliga dokument,Statens offentliga utredningarfrånUtbildningsdepartementet"
https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2017/12/oversynen-av-stodet-for-yrkesintroduktionsanstallningarna/,"Publicerad15 december 2017·Departementsserien och promemorior,Rättsliga dokumentfrånArbetsmarknadsdepartementet"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-tillvaxtverket-att-forbereda-och-etablera-en-samverkansarena-for-livsmedelssektorns-utveckling/,Publicerad14 december 2017·RegeringsuppdragfrånLandsbygds- och infrastrukturdepartementet
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-konkurrensverket-att-kartlagga-och-analysera-forhallanden-som-begransar-konkurrensen-i-den-svenska-livsmedelskedjan/,Publicerad14 december 2017·RegeringsuppdragfrånLandsbygds- och infrastrukturdepartementet
https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2017/12/sou-2017102/,"Publicerad14 december 2017·Rättsliga dokument,Statens offentliga utredningarfrånFinansdepartementet"
https://www.regeringen.se/kommenterade-dagordningar/2017/12/kommenterad-dagordning-infor-radsmotet-tte-energi-den-18-december-2017/,"Publicerad14 december 2017·Kommenterad dagordningfrånKlimat- och näringslivsdepartementet,Statsrådsberedningen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017124,"Publicerad14 december 2017·Kommittédirektiv,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017126,"Publicerad13 december 2017· Uppdaterad14 december 2017·Kommittédirektiv,Rättsliga dokumentfrånKlimat- och näringslivsdepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-statskontoret-att-gora-en-oversyn-av-uppfoljnings--och-utvarderingssystemet-av-kultursamverkansmodellen/,"Publicerad13 december 2017·RegeringsuppdragfrånKulturdepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017122,"Publicerad13 december 2017·Kommittédirektiv,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/remisser/2017/10/remiss-av-promemoria-energimarkning/,Publicerad13 oktober 2017· Uppdaterad13 december 2017·RemissfrånKlimat- och näringslivsdepartementet
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-skogsstyrelsen-att-tillvarata-jobbpotential-inom-de-grona-naringarna/,"Publicerad13 december 2017·RegeringsuppdragfrånKlimat- och näringslivsdepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/lagradsremiss/2017/12/det-straffrattsliga-skyddet-mot-manniskohandel-och-manniskoexploatering/,"Publicerad13 december 2017·Lagrådsremiss,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017123,"Publicerad13 december 2017·Kommittédirektiv,Rättsliga dokumentfrånFinansdepartementet,Regeringen"
